pdb_id,mean_beta,std_beta,max_beta,min_beta,at_content,seq_len
5VZH,5.643633708511212e-17,0.5244055935356271,1.118523462852302,-0.7363806484826946,0.29411764705882354,17
7F4Y,4.233901365095936e-17,1.0734668681505464,1.963819625813903,-0.9214252737426031,0.43283582089552236,67
8CS7,-6.245004513516506e-17,0.5670248606175908,0.9059902112496566,-0.8483809879255118,0.38095238095238093,42
224D,5.3198186596622086e-17,0.3764969577203879,0.5698089875645794,-0.5637866552265874,0.6666666666666666,12
1P3I,1.0880185641326534e-16,0.41932651884444555,0.6642492644661797,-0.705492357883035,0.589041095890411,292
7PY0,9.7300444854789e-17,0.8862467962812162,2.3630108920456703,-0.8081698147015836,0.36486486486486486,74
9GZN,3.532527805625498e-17,0.41380150343365474,0.43705020039479775,-0.7582935577191258,0.6274509803921569,51
5KG3,-7.665825646221319e-17,0.6731822176224059,1.088218382331071,-0.7504443388390429,0.5714285714285714,21
1FJX,-1.290957005378089e-16,0.17380061752838663,0.36764208669174286,-0.3784025657436682,0.5384615384615384,26
8E8E,-1.5463820700136108e-16,0.6649463421225862,1.0608827782869785,-0.7596841723039727,0.5,20
5OMF,7.930164461608261e-17,0.3937323315755301,0.6647707105203886,-0.5151427062383774,0.2692307692307692,26
1JKO,-7.833240229299716e-17,0.1859329586559731,0.3725664463167353,-0.4195253637323122,0.7142857142857143,28
4WU8,-3.907985046680551e-16,0.42638861777417536,0.6591722560338693,-0.7165190083506358,0.6,290
7TFJ,0.0,0.0,0.0,0.0,0.5714285714285714,42
1X2Y,1.4750105898591365e-16,0.22504899752709737,0.3009197951466144,-0.36471354561733027,0.4166666666666667,24
6CR8,-8.391220534957579e-17,0.529970200131268,1.1086505144833565,-0.7239751207063307,0.3,30
4JV1,-2.7755575615628914e-17,0.23461733807300555,0.4513492854140955,-0.42379103495697146,0.37037037037037035,27
8RI5,-1.081006629240284e-16,0.17262706740926084,0.2755047927655649,-0.46891236091633454,0.3333333333333333,24
2MH6,-3.736327486719277e-17,0.21290707771392187,0.3634134437054404,-0.4375148434329485,0.4666666666666667,15
1LE9,-7.401486830834377e-17,0.9003873845626041,2.104285846911915,-0.8967197123898015,0.5,48
4JD8,-1.1485065771984378e-17,0.13104914577845686,0.1670629910444181,-0.3514652741029111,0.6666666666666666,12
1TW8,-4.491356781438133e-17,0.9342288071304323,2.34938519456442,-0.8161620632000547,0.15384615384615385,52
4J9L,9.840613172813887e-17,0.6526007775793102,1.0056371366392651,-0.7466913624347463,0.5263157894736842,19
4QW9,8.22387425648264e-18,0.78337425661728,1.0811124618830386,-0.9800000126405337,0.3793103448275862,29
121D,2.2642706423276217e-16,0.14780194986663217,0.1793522188279114,-0.38639793281656154,0.5,24
5DQG,-1.5067312477055697e-16,0.7190042625872716,1.1615519179724494,-0.7669209437426102,0.5263157894736842,19
1P3L,2.4559479029586794e-16,0.4186190257357916,0.6536444232634113,-0.6963472927267051,0.589041095890411,292
4E1U,2.9203692604270424e-16,0.31621336605892886,0.36321442826812667,-0.7705487330282198,0.5,24
7K5S,6.901386369291513e-17,0.6184015937837339,1.3130759566388246,-0.6918749138774491,0.4583333333333333,24
8OOA,-9.289621226455392e-17,0.5154641222001987,0.7376755036569571,-0.8653220475641994,0.39215686274509803,204
1TRR,-1.884457502324279e-16,0.2848935000542083,0.49615375254748384,-0.5617274844489714,0.5,64
